record_id,source_file,row_idx,defect_id,title,detect_phase,detect_phase_label,detect_phase_ordinal,injection_phase,injection_phase_label,injection_phase_ordinal,severity,severity_label,severity_ordinal,defect_type,defect_type_label,defect_type_ordinal,cause,escape_cause,countermeasure,assignee,assignee_label,assignee_ordinal,detect_date,status,status_label,status_ordinal
DEF-0001,golden_defects.csv,2,DEF-0001,非同期通信タイムアウト時に再送処理が無限ループする,phase_integration,結合試験,50,phase_detail_design,詳細設計,30,val_高,高,,val_タイミング/排他,タイミング/排他,,通信制御スレッドにおいてタイマー満了イベントと再送完了コールバックの排他制御が不足していたため競合が発生した。,単体試験でのタイムアウト模擬ケースの網羅不足。,タイマーインスタンスのライフサイクルを同期ブロック内で安全にリセットするよう改修。,val_佐藤,佐藤,,2025-01-15,val_完了,完了,
DEF-0002,golden_defects.csv,3,DEF-0002,ログイン画面で特定記号を入力するとクラッシュする,phase_unit_test,単体試験,40,phase_coding,実装・単体作成,35,val_高,高,,val_境界値,境界値,,パスワードバリデーション関数で制御文字のNULL判定を行っていなかったためNULLポインタ参照が発生した。,単体試験での境界値テストケース漏れ。,NULLチェックガード節を追加し安全に例外を補足するよう修正。,val_鈴木,鈴木,,2025-01-16,val_完了,完了,
DEF-0003,golden_defects.csv,4,DEF-0003,大量データ集計時にOutOfMemoryErrorが発生する,phase_system,システム試験,60,phase_detail_design,詳細設計,30,val_高,高,,val_メモリリーク,メモリリーク,,数万件の履歴データを一括でヒープメモリにロードしていたためバッファ枯渇が生じた。,単体・結合試験環境におけるテストデータ件数の不足。,ページング処理とストリーミングカーソルを用いた逐次処理方式に変更。,val_高橋,高橋,,2025-01-20,val_完了,完了,
DEF-0004,golden_defects.csv,5,DEF-0004,ポーリング間隔のタイマーリセット漏れによる通信切断,phase_integration,結合試験,50,phase_coding,実装・単体作成,35,val_中,中,,val_タイミング/排他,タイミング/排他,,ハートビート送信後のタイマー再設定が行われずタイムアウト判定された。,結合試験での長時間連続稼働確認の不足。,送信完了イベント受信ハンドラでタイマーを確実に再設定する処理を追加。,val_田中,田中,,2025-01-22,val_完了,完了,
DEF-0005,golden_defects.csv,6,DEF-0005,日付境界(月末)で請求計算の日割りが1日ずれる,phase_unit_test,単体試験,40,phase_detail_design,詳細設計,30,val_中,中,,val_境界値,境界値,,閏年考慮漏れおよびカレンダー日付加算ロジックで日数のインデックス指定に誤りがあった。,単体試験における月末日付のテストケース漏れ。,日付計算ライブラリの標準メソッドを利用した算出ロジックへ変更。,val_渡辺,渡辺,,2025-01-25,val_完了,完了,
DEF-0006,golden_defects.csv,7,DEF-0006,ファイルアップロード中にキャンセルボタンを押下すると排他ロックが解除されない,phase_integration,結合試験,50,phase_coding,実装・単体作成,35,val_中,中,,val_タイミング/排他,タイミング/排他,,キャンセルトークン処理時のfinally句でファイルハンドルのclose呼び出しが抜けていた。,結合試験での異常系割り込み操作確認の不足。,finallyブロック内で確実にリソースをcloseおよびロック解放するよう修正。,val_伊藤,伊藤,,2025-01-28,val_完了,完了,
DEF-0007,golden_defects.csv,8,DEF-0007,帳票出力で金額がマイナスの場合にプレフィックスが表示されない,phase_unit_test,単体試験,40,phase_coding,実装・単体作成,35,val_低,低,,val_ui不備,UI不備,,フォーマット指定子の条件分岐で負数プレフィックスの書式設定が漏れていた。,単体試験での表示パターン確認不足。,マイナス符号の表示フォーマッタを共通ロジックに統一。,val_山本,山本,,2025-02-01,val_完了,完了,
DEF-0008,golden_defects.csv,9,DEF-0008,タイマー監視処理の二重起動によるCPU使用率100%,phase_system,システム試験,60,phase_basic_design,基本設計,20,val_高,高,,val_タイミング/排他,タイミング/排他,,再接続処理時に既存のタイマースレッドを破棄せずに新規タイマーを生成していたため多重起動した。,システム試験負荷テスト時のモニタリングで見つかった。,タイマーのシングルトン管理と二重起動防止フラグを新設。,val_中村,中村,,2025-02-05,val_完了,完了,
DEF-0009,golden_defects.csv,10,DEF-0009,セッションタイムアウト後の画面遷移でホワイトアウトする,phase_integration,結合試験,50,phase_detail_design,詳細設計,30,val_中,中,,val_機能不全,機能不全,,認証トークン失効ハンドラで未認証時のリダイレクト先URIが未定義となっていた。,結合試験でのタイムアウト後操作の確認不足。,未認証時のエラーハンドリングを追加しログイン画面へ遷移するよう実装。,val_小林,小林,,2025-02-08,val_完了,完了,
DEF-0010,golden_defects.csv,11,DEF-0010,顧客名カナの全角スペースで検索結果が0件になる,phase_unit_test,単体試験,40,phase_coding,実装・単体作成,35,val_低,低,,val_機能不全,機能不全,,検索クエリ生成時に全角スペースのトリム処理を行っていなかった。,単体試験での全角スペースを含む検索テスト不足。,検索文字列の前処理で全角・半角スペース双方を正規化するよう修正。,val_加藤,加藤,,2025-02-10,val_完了,完了,
DEF-0011,golden_defects.csv,12,DEF-0011,排他制御ロック取得待機中にウォッチドッグタイマが作動しプロセスが強制終了する,phase_integration,結合試験,50,phase_basic_design,基本設計,20,val_高,高,,val_タイミング/排他,タイミング/排他,,DBデッドロック発生時にフォールバック処理がなくウォッチドッグの制限時間を超過した。,単体試験での複数トランザクション競合シミュレーション不足。,ロック取得にタイムアウトを設定し待機失敗時はリトライキューへ回す制御を追加。,val_吉田,吉田,,2025-02-12,val_完了,完了,
DEF-0012,golden_defects.csv,13,DEF-0012,ボタン連打時に登録APIが複数回コールされ同一データが二重作成される,phase_system,システム試験,60,phase_detail_design,詳細設計,30,val_高,高,,val_タイミング/排他,タイミング/排他,,フロントエンドでの非同期通信中の二重送信抑止(debounce/disable)が未実装だった。,単体試験でのUIイベント連打試験の漏れ。,送信ボタン押下直後のdisable化およびバックエンドにIdempotency-Keyを導入。,val_山田,山田,,2025-02-15,val_完了,完了,
DEF-0013,golden_defects.csv,14,DEF-0013,管理者権限チェックのバイパスが可能となっている,phase_integration,結合試験,50,phase_basic_design,基本設計,20,val_高,高,,val_機能不全,機能不全,,ロール判定ミドルウェアのパス除外設定でワイルドカードの正規表現に不備があった。,結合試験での権限昇格テストパターンの不足。,認可ポリシーの定義をホワイトリスト方式に改修し厳格化。,val_佐々木,佐々木,,2025-02-18,val_完了,完了,
DEF-0014,golden_defects.csv,15,DEF-0014,CSVエクスポート時に改行を含むセルが崩れる,phase_unit_test,単体試験,40,phase_coding,実装・単体作成,35,val_低,低,,val_機能不全,機能不全,,CSV出力時のフィールドエスケープ処理でダブルクォートのクォーティングが行われていなかった。,単体試験での特殊文字を含むデータのエクスポート確認不足。,標準CSVライブラリのフォーマッタを用いた安全な出力に変更。,val_山口,山口,,2025-02-20,val_完了,完了,
DEF-0015,golden_defects.csv,16,DEF-0015,WebSocket切断時の再接続タイマーが指数バックオフせずサーバ過負荷になる,phase_system,システム試験,60,phase_detail_design,詳細設計,30,val_高,高,,val_タイミング/排他,タイミング/排他,,再接続ロジックで固定100msで無限リトライを行っていたためサーバ障害時にリトライストームが発生した。,単体試験でのネットワーク切断時のリトライ間隔計測不足。,Exponential BackoffとJitterを適用した再接続アルゴリズムを導入。,val_松本,松本,,2025-02-22,val_完了,完了,
DEF-0016,golden_defects.csv,17,DEF-0016,郵便番号バリデーションでハイフンなし7桁がエラーになる,phase_unit_test,単体試験,40,phase_detail_design,詳細設計,30,val_低,低,,val_境界値,境界値,,仕様書ではハイフン有無両方許可となっていたが正規表現がハイフン必須となっていた。,単体試験での仕様照合不足。,ハイフン任意許容の正規表現に修正。,val_井上,井上,,2025-02-24,val_完了,完了,
DEF-0017,golden_defects.csv,18,DEF-0017,バッチ処理で特定のゼロ件レコード群でゼロ除算例外が発生する,phase_integration,結合試験,50,phase_coding,実装・単体作成,35,val_中,中,,val_境界値,境界値,,除数となる件数が0の場合のゼロチェックガードが欠落していた。,結合試験での境界条件パターンの未網羅。,計算前に件数のチェックを行い0件時は計算結果0を出力するガード節を追加。,val_木村,木村,,2025-02-26,val_完了,完了,
DEF-0018,golden_defects.csv,19,DEF-0018,タイマー割り込みとUI描画スレッドの競合による画面フリーズ,phase_system,システム試験,60,phase_detail_design,詳細設計,30,val_高,高,,val_タイミング/排他,タイミング/排他,,タイマースレッドから直接UIコントロールのプロパティを更新していたためデッドロックした。,単体試験でのマルチスレッド描画確認不足。,UIディスパッチャを経由した非同期描画更新へ修正。,val_林,林,,2025-03-01,val_完了,完了,
DEF-0019,golden_defects.csv,20,DEF-0019,画面の英語切り替え時に一部メッセージが日本語のまま残る,phase_unit_test,単体試験,40,phase_coding,実装・単体作成,35,val_低,低,,val_ui不備,UI不備,,国際化メッセージリソースのキー紐付けが一部ハードコードされていた。,単体試験での多言語切り替え網羅確認不足。,多言語リソースファイルへのキー外出しと参照修正を実施。,val_清水,清水,,2025-03-02,val_完了,完了,
DEF-0020,golden_defects.csv,21,DEF-0020,長時間のアイドル後にAPI呼び出しを行うとDB接続プールのタイムアウトエラーになる,phase_integration,結合試験,50,phase_detail_design,詳細設計,30,val_中,中,,val_機能不全,機能不全,,接続プールのkeep-aliveクエリが未設定でファイアウォールによるTCPセッション切断を検知できなかった。,単体試験での長時間アイドル状態シミュレーションの不足。,接続プール設定に検証クエリ(testOnBorrow)とアイドルタイムアウトを設定。,val_山崎,山崎,,2025-03-05,val_完了,完了,
DEF-0021,golden_defects.csv,22,DEF-0021,マイページ表示時のレスポンスが3秒以上かかる,phase_system,システム試験,60,phase_detail_design,詳細設計,30,val_中,中,,val_機能不全,機能不全,,N+1クエリが発生しており関連テーブルへのアクセスがループ内で実行されていた。,結合試験でのパフォーマンステスト実施漏れ。,ORMのeager loadingを用いて一括取得するように最適化。,val_森,森,,2025-03-08,val_完了,完了,
DEF-0022,golden_defects.csv,23,DEF-0022,パスワード再設定メールの有効期限タイマーがUTCとJSTで9時間ずれる,phase_unit_test,単体試験,40,phase_detail_design,詳細設計,30,val_高,高,,val_境界値,境界値,,サーバ側の日時取得でタイムゾーンの明示的指定がなくローカル時とUTCが混在した。,単体試験でのタイムゾーン跨ぎの検証不足。,トークン有効期限の計算およびDB保存をすべてUTCに統一。,val_池田,池田,,2025-03-10,val_完了,完了,
DEF-0023,golden_defects.csv,24,DEF-0023,商品一覧で価格のソート順が昇順・降順で一致しない,phase_unit_test,単体試験,40,phase_coding,実装・単体作成,35,val_低,低,,val_機能不全,機能不全,,価格が同値の場合の第2ソートキー(ID)が未指定でDBの実装依存の並び順となっていた。,単体試験での同値ソート結果の確認不足。,ソートキーに主キーIDを第2キーとして常時付与するようクエリを修正。,val_橋本,橋本,,2025-03-12,val_完了,完了,
DEF-0024,golden_defects.csv,25,DEF-0024,Bluetooth接続タイムアウト発生時にステータスが「接続中」のまま復帰不能になる,phase_integration,結合試験,50,phase_detail_design,詳細設計,30,val_高,高,,val_タイミング/排他,タイミング/排他,,接続失敗コールバックで状態管理ステートマシンのエラー遷移が未ハンドリングだったためロックされた。,結合試験でのデバイス圏外切断試験不足。,タイムアウト時に強制的に「未接続」状態へフォールバックするエラーリカバリを実装。,val_阿部,阿部,,2025-03-15,val_完了,完了,
DEF-0025,golden_defects.csv,26,DEF-0025,タイマー処理の排他ロック解除漏れによりバックグラウンドジョブが停止する,phase_system,システム試験,60,phase_detail_design,詳細設計,30,val_高,高,,val_タイミング/排他,タイミング/排他,,ジョブ実行中に未捕捉のRuntimeExceptionが発生した際にロック解放がスキップされた。,結合試験での例外発生パターンのテスト不足。,try-with-resourcesパターンを用いた確実な自動ロック解放構造に改修。,val_石川,石川,,2025-03-18,val_完了,完了,
DEF-0026,golden_defects.csv,27,DEF-0026,契約者氏名が50文字以上の場合にDBエラーで画面にSQL文が露出する,phase_unit_test,単体試験,40,phase_coding,実装・単体作成,35,val_中,中,,val_機能不全,機能不全,,DBカラム長50文字に対して入力フォーム側のmaxlength属性が未設定でエラー画面のサニタイズも不足していた。,単体試験での最大文字数超過試験の漏れ。,フォームバリデーションの追加および汎用エラー画面での詳細スタックトレース非表示化。,val_中島,中島,,2025-03-20,val_完了,完了,
DEF-0027,golden_defects.csv,28,DEF-0027,夜間バッチと日中更新APIの同時実行によるデッドロック,phase_system,システム試験,60,phase_detail_design,詳細設計,30,val_高,高,,val_タイミング/排他,タイミング/排他,,テーブル更新順序がバッチ(A->B)とAPI(B->A)で逆になっていたため競合した。,単体・結合試験での並行トランザクション検証不足。,システム全体でテーブル更新順序をA->Bに厳格に統一。,val_前田,前田,,2025-03-22,val_完了,完了,
DEF-0028,golden_defects.csv,29,DEF-0028,PDF請求書のバーコードが一部リーダーで読み取れない,phase_unit_test,単体試験,40,phase_coding,実装・単体作成,35,val_低,低,,val_ui不備,UI不備,,バーコード画像の解像度とマージン指定が規格を満たしていなかった。,単体試験での実機バーコードスキャン検証不足。,規格に準拠したDPI設定とクワイエットゾーン(余白)を確保するよう生成パラメータを修正。,val_藤田,藤田,,2025-03-25,val_完了,完了,
DEF-0029,golden_defects.csv,30,DEF-0029,マイクロサービス間のgRPC呼び出しでデッドラインタイムアウトが発生する,phase_integration,結合試験,50,phase_basic_design,基本設計,20,val_高,高,,val_タイミング/排他,タイミング/排他,,下流サービスの遅延時に上流のデッドライン設定が短すぎカスケード失敗を招いた。,結合試験での分散トレースによる遅延シミュレーション不足。,デッドラインの伝播設定を見直しサーキットブレーカーを導入。,val_小川,小川,,2025-03-27,val_完了,完了,
DEF-0030,golden_defects.csv,31,DEF-0030,通知メールの本文でHTMLタグがそのままテキスト表示される,phase_unit_test,単体試験,40,phase_coding,実装・単体作成,35,val_低,低,,val_ui不備,UI不備,,テンプレートエンジンで自動HTMLエスケープが二重にかかっていた。,単体試験での実メール送信確認の不足。,プレーンテキストメール送信時にはrawテキストを適用するよう修正。,val_後藤,後藤,,2025-03-30,val_完了,完了,
DEF-0031,golden_defects.csv,32,DEF-0031,タイマー駆動の定期集計タスクがメモリリークで2日後にクラッシュする,phase_system,システム試験,60,phase_detail_design,詳細設計,30,val_高,高,,val_メモリリーク,メモリリーク,,集計時に生成した一時エンティティがキャッシュマップから削除されず参照が残り続けた。,長時間連続運転試験でのメモリプロファイリング不足。,WeakReferenceキャッシュへの置き換えおよび集計完了時の明示的キャッシュクリアを追加。,val_岡田,岡田,,2025-04-02,val_完了,完了,
DEF-0032,golden_defects.csv,33,DEF-0032,ファイルダウンロードで2GB以上の大容量ファイルが途中で切断される,phase_integration,結合試験,50,phase_detail_design,詳細設計,30,val_中,中,,val_機能不全,機能不全,,HTTPレスポンスバッファ上限に達したためソケットタイムアウトが発生した。,単体試験での大容量ファイル転送テスト不足。,Chunked transfer encodingを用いたストリーミングダウンロード方式に改修。,val_長谷川,長谷川,,2025-04-05,val_完了,完了,
DEF-0033,golden_defects.csv,34,DEF-0033,パスワード変更後に古いセッションが生きており不正操作が可能,phase_integration,結合試験,50,phase_basic_design,基本設計,20,val_高,高,,val_機能不全,機能不全,,パスワード更新時に既存の全有効トークンを無効化する処理が欠落していた。,結合試験でのセキュリティテスト項目の不足。,パスワード変更時に該当ユーザーのセッションセッションストアを一括失効させる処理を追加。,val_村上,村上,,2025-04-08,val_完了,完了,
DEF-0034,golden_defects.csv,35,DEF-0034,スマホ縦画面でヘッダーメニューが一部画面外にはみ出る,phase_unit_test,単体試験,40,phase_coding,実装・単体作成,35,val_低,低,,val_ui不備,UI不備,,レスポンシブ用のメディアクエリで最小幅320pxのブレークポイント設定が抜けていた。,単体試験での複数端末画面サイズ確認不足。,CSSメディアクエリを調整し320px幅での折り返し表示に対応。,val_近藤,近藤,,2025-04-10,val_完了,完了,
DEF-0035,golden_defects.csv,36,DEF-0035,タイマー満了と同時に停止要求が来た場合の競合による不正終了,phase_integration,結合試験,50,phase_detail_design,詳細設計,30,val_高,高,,val_タイミング/排他,タイミング/排他,,ステートの遷移中にタイマースレッドのコールバックがインターリーブした。,結合試験での並行シャットダウンシミュレーション不足。,排他ロック下で実行中フラグを確認してからコールバックを呼び出すようガードを追加。,val_石井,石井,,2025-04-12,val_完了,完了,
